producto_id,nombre_producto,categoria,mes_pronosticado,horizonte,prediccion_xgboost,prediccion_baseline,prediccion_final,metodo_usado
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,MEDICAMENTOS,2022-07,1,0.54,84.67,84.67,Media móvil
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,MEDICAMENTOS,2022-08,2,0.0,112.89,112.89,Media móvil
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,MEDICAMENTOS,2022-09,3,0.0,72.85,72.85,Media móvil
131589,"TIOTROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 2,5MCG/1PUFF/60PUFF",MEDICAMENTOS,2022-07,1,0.89,2.0,2.0,Media móvil
131589,"TIOTROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 2,5MCG/1PUFF/60PUFF",MEDICAMENTOS,2022-08,2,1.05,1.0,1.05,XGBoost
131589,"TIOTROPIO BROMURO SUSPENSIÓN PARA INHALACIÓN 2,5MCG/1PUFF/60PUFF",MEDICAMENTOS,2022-09,3,0.91,1.35,0.91,XGBoost
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,MEDICAMENTOS,2022-07,1,231.73,149.67,231.73,XGBoost
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,MEDICAMENTOS,2022-08,2,208.79,190.58,208.79,XGBoost
134746,LEVETIRACETAM SOL. INYECTABLE 500MG/5ML,MEDICAMENTOS,2022-09,3,165.16,227.17,165.16,XGBoost
136905,CICLOSERINA 250MG TABLETA ,MEDICAMENTOS,2022-07,1,0.1,6.0,6.0,Media móvil
136905,CICLOSERINA 250MG TABLETA ,MEDICAMENTOS,2022-08,2,0.0,8.0,8.0,Media móvil
136905,CICLOSERINA 250MG TABLETA ,MEDICAMENTOS,2022-09,3,0.0,4.67,4.67,Media móvil
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,MEDICAMENTOS,2022-07,1,365.15,422.0,365.15,XGBoost
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,MEDICAMENTOS,2022-08,2,405.74,454.72,405.74,XGBoost
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,MEDICAMENTOS,2022-09,3,380.98,413.63,380.98,XGBoost
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,MEDICAMENTOS,2022-07,1,0.99,50.67,50.67,Media móvil
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,MEDICAMENTOS,2022-08,2,0.0,67.56,67.56,Media móvil
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,MEDICAMENTOS,2022-09,3,0.36,39.41,39.41,Media móvil
145933,LEVOTIROXINA SODICA TABLETA 25MCG,MEDICAMENTOS,2022-07,1,79.81,58.0,79.81,XGBoost
145933,LEVOTIROXINA SODICA TABLETA 25MCG,MEDICAMENTOS,2022-08,2,87.81,67.6,87.81,XGBoost
145933,LEVOTIROXINA SODICA TABLETA 25MCG,MEDICAMENTOS,2022-09,3,86.5,75.21,86.5,XGBoost
151766,CLOBAZAM TABLETA 10 MG ,CONTROLADOS,2022-07,1,2.22,56.33,56.33,Media móvil
151766,CLOBAZAM TABLETA 10 MG ,CONTROLADOS,2022-08,2,10.49,18.78,10.49,XGBoost
151766,CLOBAZAM TABLETA 10 MG ,CONTROLADOS,2022-09,3,5.76,22.27,22.27,Media móvil
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,MEDICAMENTOS,2022-07,1,27.52,11.0,11.0,Media móvil
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,MEDICAMENTOS,2022-08,2,20.14,5.0,5.0,Media móvil
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,MEDICAMENTOS,2022-09,3,11.19,5.33,5.33,Media móvil
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,MEDICAMENTOS,2022-07,1,53.5,55.33,55.33,Media móvil
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,MEDICAMENTOS,2022-08,2,38.36,42.44,42.44,Media móvil
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,MEDICAMENTOS,2022-09,3,43.28,50.59,50.59,Media móvil
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,MEDICAMENTOS,2022-07,1,5.49,0.0,5.49,XGBoost
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,MEDICAMENTOS,2022-08,2,11.92,1.83,11.92,XGBoost
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,MEDICAMENTOS,2022-09,3,19.13,5.8,19.13,XGBoost
160729,LEVETIRACETAM 1000MG TABLETA,MEDICAMENTOS,2022-07,1,0.0,9.67,9.67,Media móvil
160729,LEVETIRACETAM 1000MG TABLETA,MEDICAMENTOS,2022-08,2,0.0,3.22,3.22,Media móvil
160729,LEVETIRACETAM 1000MG TABLETA,MEDICAMENTOS,2022-09,3,0.0,4.3,4.3,Media móvil
162236,INSULINA DEGLUDEC SOL. INYECTABLE 100UI/ML x 3 ML,MEDICAMENTOS,2022-07,1,2.73,4.33,4.33,Media móvil
162236,INSULINA DEGLUDEC SOL. INYECTABLE 100UI/ML x 3 ML,MEDICAMENTOS,2022-08,2,2.71,4.44,4.44,Media móvil
162236,INSULINA DEGLUDEC SOL. INYECTABLE 100UI/ML x 3 ML,MEDICAMENTOS,2022-09,3,2.54,4.26,4.26,Media móvil
162378,ACETAMINOFEN/HIDROCODONA TABLETA 325MG/5MG,MEDICAMENTOS,2022-07,1,0.51,0.0,0.51,XGBoost
162378,ACETAMINOFEN/HIDROCODONA TABLETA 325MG/5MG,MEDICAMENTOS,2022-08,2,0.52,0.17,0.52,XGBoost
162378,ACETAMINOFEN/HIDROCODONA TABLETA 325MG/5MG,MEDICAMENTOS,2022-09,3,0.51,0.34,0.51,XGBoost
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,MEDICAMENTOS,2022-07,1,3.1,12.67,12.67,Media móvil
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,MEDICAMENTOS,2022-08,2,6.98,16.89,16.89,Media móvil
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,MEDICAMENTOS,2022-09,3,6.23,14.19,14.19,Media móvil
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,MEDICAMENTOS,2022-07,1,15.75,10.0,15.75,XGBoost
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,MEDICAMENTOS,2022-08,2,3.61,5.25,3.61,XGBoost
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,MEDICAMENTOS,2022-09,3,7.71,6.45,7.71,XGBoost
164333,FOSFOMICINA DISODICA 4G POLVO LIOFILIZADO ,MEDICAMENTOS,2022-07,1,1.66,5.67,5.67,Media móvil
164333,FOSFOMICINA DISODICA 4G POLVO LIOFILIZADO ,MEDICAMENTOS,2022-08,2,0.91,6.56,6.56,Media móvil
164333,FOSFOMICINA DISODICA 4G POLVO LIOFILIZADO ,MEDICAMENTOS,2022-09,3,1.35,5.74,5.74,Media móvil
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",NUTRICION,2022-07,1,3.99,18.0,18.0,Media móvil
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",NUTRICION,2022-08,2,5.9,18.33,18.33,Media móvil
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",NUTRICION,2022-09,3,7.22,14.44,14.44,Media móvil
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,MEDICAMENTOS,2022-07,1,46.22,40.0,40.0,Media móvil
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,MEDICAMENTOS,2022-08,2,35.8,34.33,34.33,Media móvil
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,MEDICAMENTOS,2022-09,3,43.07,36.11,36.11,Media móvil
200061,SENSOR NEONATAL ADHESIVO M-LNCS PARA EQUIPOS  MARCA MASIMO,DISPOSITIVOS MEDICO,2022-07,1,0.61,1.67,1.67,Media móvil
200061,SENSOR NEONATAL ADHESIVO M-LNCS PARA EQUIPOS  MARCA MASIMO,DISPOSITIVOS MEDICO,2022-08,2,0.88,0.56,0.88,XGBoost
200061,SENSOR NEONATAL ADHESIVO M-LNCS PARA EQUIPOS  MARCA MASIMO,DISPOSITIVOS MEDICO,2022-09,3,0.63,0.85,0.63,XGBoost
200072,SENSOR SPO2 NEONATAL EM0602,DISPOSITIVOS MEDICO,2022-07,1,0.13,0.0,0.13,XGBoost
200072,SENSOR SPO2 NEONATAL EM0602,DISPOSITIVOS MEDICO,2022-08,2,0.17,0.04,0.17,XGBoost
200072,SENSOR SPO2 NEONATAL EM0602,DISPOSITIVOS MEDICO,2022-09,3,0.01,0.1,0.1,Media móvil
2001990802,SACCHAROMYCES BOULARDII POLVO PARA SUSPENSIÓN ORAL 250MG,MEDICAMENTOS,2022-07,1,1.93,0.0,1.93,XGBoost
2001990802,SACCHAROMYCES BOULARDII POLVO PARA SUSPENSIÓN ORAL 250MG,MEDICAMENTOS,2022-08,2,3.54,0.64,3.54,XGBoost
2001990802,SACCHAROMYCES BOULARDII POLVO PARA SUSPENSIÓN ORAL 250MG,MEDICAMENTOS,2022-09,3,3.44,1.82,3.44,XGBoost
20039341,TICAGRELOR TABLETA 90MG,MEDICAMENTOS,2022-07,1,0.4,1.0,1.0,Media móvil
20039341,TICAGRELOR TABLETA 90MG,MEDICAMENTOS,2022-08,2,0.9,0.33,0.9,XGBoost
20039341,TICAGRELOR TABLETA 90MG,MEDICAMENTOS,2022-09,3,0.69,0.63,0.69,XGBoost
6421,"OXIMETAZOLINA SOLUCIÓN NASAL 0, 025% ",MEDICAMENTOS,2022-07,1,0.19,0.67,0.67,Media móvil
6421,"OXIMETAZOLINA SOLUCIÓN NASAL 0, 025% ",MEDICAMENTOS,2022-08,2,0.24,0.22,0.24,XGBoost
6421,"OXIMETAZOLINA SOLUCIÓN NASAL 0, 025% ",MEDICAMENTOS,2022-09,3,0.24,0.3,0.24,XGBoost
700010,NIFEDIPINO CÁPSULA 10MG,MEDICAMENTOS,2022-07,1,173.42,184.0,173.42,XGBoost
700010,NIFEDIPINO CÁPSULA 10MG,MEDICAMENTOS,2022-08,2,167.86,222.14,167.86,XGBoost
700010,NIFEDIPINO CÁPSULA 10MG,MEDICAMENTOS,2022-09,3,128.27,210.09,128.27,XGBoost
700021,ALFAMETILDOPA TABLETA 250MG,MEDICAMENTOS,2022-07,1,24.9,17.0,17.0,Media móvil
700021,ALFAMETILDOPA TABLETA 250MG,MEDICAMENTOS,2022-08,2,20.97,13.67,13.67,Media móvil
700021,ALFAMETILDOPA TABLETA 250MG,MEDICAMENTOS,2022-09,3,24.29,11.89,11.89,Media móvil
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,MEDICAMENTOS,2022-07,1,65.27,72.67,72.67,Media móvil
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,MEDICAMENTOS,2022-08,2,67.23,84.22,84.22,Media móvil
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,MEDICAMENTOS,2022-09,3,66.12,86.96,86.96,Media móvil
700131,CLOTRIMAZOL 100MG TABLETA VAGINAL,MEDICAMENTOS,2022-07,1,1.88,3.0,1.88,XGBoost
700131,CLOTRIMAZOL 100MG TABLETA VAGINAL,MEDICAMENTOS,2022-08,2,1.73,1.29,1.73,XGBoost
700131,CLOTRIMAZOL 100MG TABLETA VAGINAL,MEDICAMENTOS,2022-09,3,1.71,1.87,1.71,XGBoost
700142,WARFARINA SODICA TABLETA 5MG,MEDICAMENTOS,2022-07,1,38.67,27.67,27.67,Media móvil
700142,WARFARINA SODICA TABLETA 5MG,MEDICAMENTOS,2022-08,2,54.48,22.56,22.56,Media móvil
700142,WARFARINA SODICA TABLETA 5MG,MEDICAMENTOS,2022-09,3,59.15,20.41,20.41,Media móvil
700145,DIOSMINA TABLETA 500MG,MEDICAMENTOS,2022-07,1,0.0,6.67,6.67,Media móvil
700145,DIOSMINA TABLETA 500MG,MEDICAMENTOS,2022-08,2,0.0,8.89,8.89,Media móvil
700145,DIOSMINA TABLETA 500MG,MEDICAMENTOS,2022-09,3,0.0,5.19,5.19,Media móvil
700203,MUPIROCINA UNGÜENTO TÓPICO 2%/15G,MEDICAMENTOS,2022-07,1,0.14,0.33,0.33,Media móvil
700203,MUPIROCINA UNGÜENTO TÓPICO 2%/15G,MEDICAMENTOS,2022-08,2,0.13,0.44,0.44,Media móvil
700203,MUPIROCINA UNGÜENTO TÓPICO 2%/15G,MEDICAMENTOS,2022-09,3,0.15,0.26,0.15,XGBoost
700245,SULFADIAZINA DE PLATA CREMA TOPICA 1% ,MEDICAMENTOS,2022-07,1,0.2,0.33,0.2,XGBoost
700245,SULFADIAZINA DE PLATA CREMA TOPICA 1% ,MEDICAMENTOS,2022-08,2,0.22,0.07,0.22,XGBoost
700245,SULFADIAZINA DE PLATA CREMA TOPICA 1% ,MEDICAMENTOS,2022-09,3,0.22,0.14,0.22,XGBoost
700290,"BETAMETILDIGOXINA 0,6MG/ML/45 GOTAS SOLUCIÓN ORAL ",MEDICAMENTOS,2022-07,1,1.2,2.0,1.2,XGBoost
700290,"BETAMETILDIGOXINA 0,6MG/ML/45 GOTAS SOLUCIÓN ORAL ",MEDICAMENTOS,2022-08,2,1.29,1.07,1.29,XGBoost
700290,"BETAMETILDIGOXINA 0,6MG/ML/45 GOTAS SOLUCIÓN ORAL ",MEDICAMENTOS,2022-09,3,1.38,1.5,1.38,XGBoost
700302,GLUTAPAK 10 ENTEREX ALIMENTO 15g,NUTRICION,2022-07,1,0.0,1.67,1.67,Media móvil
700302,GLUTAPAK 10 ENTEREX ALIMENTO 15g,NUTRICION,2022-08,2,0.22,1.22,1.22,Media móvil
700302,GLUTAPAK 10 ENTEREX ALIMENTO 15g,NUTRICION,2022-09,3,0.22,0.96,0.96,Media móvil
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,MEDICAMENTOS,2022-07,1,16.65,86.33,86.33,Media móvil
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,MEDICAMENTOS,2022-08,2,9.82,87.11,87.11,Media móvil
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,MEDICAMENTOS,2022-09,3,21.16,77.15,77.15,Media móvil
700308,PREPARADO MAGISTRAL DE NIFEDIPINO ENTERAL 30 MG/ 10 ML,MEDICAMENTOS,2022-07,1,0.0,6.0,6.0,Media móvil
700308,PREPARADO MAGISTRAL DE NIFEDIPINO ENTERAL 30 MG/ 10 ML,MEDICAMENTOS,2022-08,2,0.0,8.0,8.0,Media móvil
700308,PREPARADO MAGISTRAL DE NIFEDIPINO ENTERAL 30 MG/ 10 ML,MEDICAMENTOS,2022-09,3,0.0,4.67,4.67,Media móvil
700310,TROPICAMIDA 1% 15ML SOLUCION OFTALMICA,MEDICAMENTOS,2022-07,1,0.0,0.33,0.33,Media móvil
700310,TROPICAMIDA 1% 15ML SOLUCION OFTALMICA,MEDICAMENTOS,2022-08,2,0.07,0.11,0.07,XGBoost
700310,TROPICAMIDA 1% 15ML SOLUCION OFTALMICA,MEDICAMENTOS,2022-09,3,0.18,0.14,0.18,XGBoost
700319,circuito neonatal REFERENCIA MP02650,DISPOSITIVOS MEDICO,2022-07,1,1.31,4.0,4.0,Media móvil
700319,circuito neonatal REFERENCIA MP02650,DISPOSITIVOS MEDICO,2022-08,2,1.41,3.33,3.33,Media móvil
700319,circuito neonatal REFERENCIA MP02650,DISPOSITIVOS MEDICO,2022-09,3,1.53,3.11,3.11,Media móvil
700320,LEVETIRACETAM 100 MG/ML SOLUCION ORAL x 300 ML,MEDICAMENTOS,2022-07,1,0.43,1.33,1.33,Media móvil
700320,LEVETIRACETAM 100 MG/ML SOLUCION ORAL x 300 ML,MEDICAMENTOS,2022-08,2,0.43,1.78,1.78,Media móvil
700320,LEVETIRACETAM 100 MG/ML SOLUCION ORAL x 300 ML,MEDICAMENTOS,2022-09,3,0.63,1.04,0.63,XGBoost
700326,IPRATROPIO BROMURO SOL. PARA INHALACIÓN 250MCG/1ML x 20ML,MEDICAMENTOS,2022-07,1,2.75,1.33,1.33,Media móvil
700326,IPRATROPIO BROMURO SOL. PARA INHALACIÓN 250MCG/1ML x 20ML,MEDICAMENTOS,2022-08,2,3.53,1.11,1.11,Media móvil
700326,IPRATROPIO BROMURO SOL. PARA INHALACIÓN 250MCG/1ML x 20ML,MEDICAMENTOS,2022-09,3,3.53,0.81,0.81,Media móvil
700401,SUCRALFATO SUSPENSIÓN ORAL 20%/200ML,MEDICAMENTOS,2022-07,1,1.08,0.33,1.08,XGBoost
700401,SUCRALFATO SUSPENSIÓN ORAL 20%/200ML,MEDICAMENTOS,2022-08,2,1.35,0.69,1.35,XGBoost
700401,SUCRALFATO SUSPENSIÓN ORAL 20%/200ML,MEDICAMENTOS,2022-09,3,1.4,1.14,1.4,XGBoost
700410,EQUIPO PERFUSOR 50CC,DISPOSITIVOS MEDICO,2022-07,1,1.55,1.33,1.55,XGBoost
700410,EQUIPO PERFUSOR 50CC,DISPOSITIVOS MEDICO,2022-08,2,1.48,1.85,1.48,XGBoost
700410,EQUIPO PERFUSOR 50CC,DISPOSITIVOS MEDICO,2022-09,3,1.64,2.34,1.64,XGBoost
700422,FENOBARBITAL SOLUCIÓN ORAL 4MG/1ML ,CONTROLADOS,2022-07,1,0.72,0.67,0.67,Media móvil
700422,FENOBARBITAL SOLUCIÓN ORAL 4MG/1ML ,CONTROLADOS,2022-08,2,0.81,0.56,0.56,Media móvil
700422,FENOBARBITAL SOLUCIÓN ORAL 4MG/1ML ,CONTROLADOS,2022-09,3,0.73,0.41,0.41,Media móvil
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,MEDICAMENTOS,2022-07,1,33.97,30.67,30.67,Media móvil
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,MEDICAMENTOS,2022-08,2,39.73,32.89,32.89,Media móvil
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,MEDICAMENTOS,2022-09,3,33.14,30.52,30.52,Media móvil
700525,PROPOFOL EMULSIÓN INYECTABLE 1%/20ML,MEDICAMENTOS,2022-07,1,1.87,3.0,1.87,XGBoost
700525,PROPOFOL EMULSIÓN INYECTABLE 1%/20ML,MEDICAMENTOS,2022-08,2,1.52,2.62,1.52,XGBoost
700525,PROPOFOL EMULSIÓN INYECTABLE 1%/20ML,MEDICAMENTOS,2022-09,3,1.81,1.8,1.81,XGBoost
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,CONTROLADOS,2022-07,1,8983.71,11077.33,8983.71,XGBoost
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,CONTROLADOS,2022-08,2,9277.57,12366.9,9277.57,XGBoost
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,CONTROLADOS,2022-09,3,9277.57,10888.43,9277.57,XGBoost
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,MEDICAMENTOS,2022-07,1,0.39,31.33,31.33,Media móvil
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,MEDICAMENTOS,2022-08,2,1.81,41.78,41.78,Media móvil
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,MEDICAMENTOS,2022-09,3,2.52,38.7,38.7,Media móvil
700550,ROCURONIO BROMURO SOLUCIÓN INYECTABLE 50MG/5ML,MEDICAMENTOS,2022-07,1,0.19,13.33,13.33,Media móvil
700550,ROCURONIO BROMURO SOLUCIÓN INYECTABLE 50MG/5ML,MEDICAMENTOS,2022-08,2,0.0,17.78,17.78,Media móvil
700550,ROCURONIO BROMURO SOLUCIÓN INYECTABLE 50MG/5ML,MEDICAMENTOS,2022-09,3,0.0,18.37,18.37,Media móvil
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),MEDICAMENTOS,2022-07,1,313.32,137.33,313.32,XGBoost
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),MEDICAMENTOS,2022-08,2,265.19,241.77,265.19,XGBoost
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),MEDICAMENTOS,2022-09,3,239.6,270.17,239.6,XGBoost
700567,ALIZAPRIDA SOL. INYECTABLE 50MG,MEDICAMENTOS,2022-07,1,0.15,0.0,0.15,XGBoost
700567,ALIZAPRIDA SOL. INYECTABLE 50MG,MEDICAMENTOS,2022-08,2,0.15,0.05,0.15,XGBoost
700567,ALIZAPRIDA SOL. INYECTABLE 50MG,MEDICAMENTOS,2022-09,3,0.15,0.1,0.15,XGBoost
