producto_id,nombre_producto,categoria,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_semanas,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,fecha_estimada_pedido,dias_para_pedido,ordenar
700245,SULFADIAZINA DE PLATA CREMA TOPICA 1% ,MEDICAMENTOS,C,Alta,XGBoost,0.21,1.0,0.23,0.01,0.06,0.0,,,0.06,2022-06-01,0.0,SI
700290,"BETAMETILDIGOXINA 0,6MG/ML/45 GOTAS SOLUCIÓN ORAL ",MEDICAMENTOS,C,Alta,XGBoost,1.29,1.0,0.23,0.06,0.36,6.0,,0.0,0.0,2022-10-12,133.0,NO
700302,GLUTAPAK 10 ENTEREX ALIMENTO 15g,NUTRICION,C,Alta,XGBoost,1.28,1.0,0.23,0.23,0.53,33.0,,0.0,0.0,2024-07-10,770.0,NO
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,MEDICAMENTOS,C,Media,Media móvil,83.53,1.0,0.23,3.58,22.8,31.0,,0.0,0.0,2022-06-03,3.0,NO
700308,PREPARADO MAGISTRAL DE NIFEDIPINO ENTERAL 30 MG/ 10 ML,MEDICAMENTOS,C,Alta,XGBoost,6.22,1.0,0.23,1.08,2.52,,,,,,,NO
700310,TROPICAMIDA 1% 15ML SOLUCION OFTALMICA,MEDICAMENTOS,C,Alta,XGBoost,0.19,1.0,0.23,0.08,0.13,,,,,,,NO
700319,circuito neonatal REFERENCIA MP02650,DISPOSITIVOS MEDICO,C,Media,Media móvil,3.48,1.0,0.23,0.3,1.1,3.0,,0.0,0.0,2022-06-17,17.0,NO
700320,LEVETIRACETAM 100 MG/ML SOLUCION ORAL x 300 ML,MEDICAMENTOS,C,Alta,XGBoost,1.25,1.0,0.23,0.37,0.66,2.0,,0.0,0.0,2022-07-03,33.0,NO
700326,IPRATROPIO BROMURO SOL. PARA INHALACIÓN 250MCG/1ML x 20ML,MEDICAMENTOS,C,Media,Media móvil,1.08,1.0,0.23,0.17,0.42,1.0,,0.0,0.0,2022-06-17,16.0,NO
700401,SUCRALFATO SUSPENSIÓN ORAL 20%/200ML,MEDICAMENTOS,C,Alta,XGBoost,1.28,1.0,0.23,0.11,0.41,2.0,,0.0,0.0,2022-07-09,38.0,NO
700410,EQUIPO PERFUSOR 50CC,DISPOSITIVOS MEDICO,C,Alta,XGBoost,1.56,1.0,0.23,0.05,0.41,5.0,,0.0,0.0,2022-08-29,90.0,NO
700422,FENOBARBITAL SOLUCIÓN ORAL 4MG/1ML ,CONTROLADOS,C,Media,Media móvil,0.55,1.0,0.23,0.08,0.21,10.0,,0.0,0.0,2023-11-28,545.0,NO
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,MEDICAMENTOS,C,Baja,Media móvil,31.36,1.0,0.23,0.86,8.08,7.0,,0.0,1.08,2022-06-01,0.0,SI
700525,PROPOFOL EMULSIÓN INYECTABLE 1%/20ML,MEDICAMENTOS,C,Alta,XGBoost,1.73,1.0,0.23,0.12,0.52,7.0,,0.0,0.0,2022-09-22,114.0,NO
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,CONTROLADOS,A,Baja,XGBoost,9179.62,1.0,0.23,109.65,2222.34,2137.0,,0.0,85.34,2022-06-01,0.0,SI
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,MEDICAMENTOS,C,Alta,XGBoost,37.27,1.0,0.23,3.47,12.05,18.0,,0.0,0.0,2022-06-05,5.0,NO
700550,ROCURONIO BROMURO SOLUCIÓN INYECTABLE 50MG/5ML,MEDICAMENTOS,C,Alta,XGBoost,16.49,1.0,0.23,1.78,5.58,69.0,,0.0,0.0,2022-09-26,117.0,NO
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),MEDICAMENTOS,B,Media,XGBoost,272.7,1.0,0.23,24.19,86.95,118.0,,0.0,0.0,2022-06-04,3.0,NO
700567,ALIZAPRIDA SOL. INYECTABLE 50MG,MEDICAMENTOS,C,Alta,XGBoost,0.15,1.0,0.23,0.0,0.03,3.0,,0.0,0.0,2024-01-23,602.0,NO
700572,"METILERGOMETRINA SOL. INYECTABLE 0,2MG ",CONTROLADOS,C,Alta,XGBoost,0.4,1.0,0.23,0.05,0.14,48.0,,0.0,0.0,2032-04-20,3612.0,NO
700575,"ENOXAPARINA 20MG/0,2ML SOL. INYECTABLE ",MEDICAMENTOS,B,Baja,XGBoost,122.77,1.0,0.23,4.96,33.22,66.0,,0.0,0.0,2022-06-09,8.0,NO
700577,"ENOXAPARINA 60MG/0,6ML SOL. INYECTABLE ",MEDICAMENTOS,B,Baja,XGBoost,382.04,1.0,0.23,7.14,95.07,89.0,,0.0,6.07,2022-06-01,0.0,SI
700578,"ENOXAPARINA 80MG/0,8ML SOL. INYECTABLE ",MEDICAMENTOS,B,Baja,XGBoost,162.14,1.0,0.23,5.99,43.3,50.0,,0.0,0.0,2022-06-02,1.0,NO
700587,MEPERIDINA 100MG/2ML SOL. INYECTABLE,CONTROLADOS,C,Baja,Media móvil,51.75,1.0,0.23,5.36,17.27,463.0,,0.0,0.0,2023-02-18,262.0,NO
700605,INMUNOGLOBULINA HUMANA NORMAL  6 GR/200ML SOL. INYECTABLE,MEDICAMENTOS,C,Alta,XGBoost,7.69,1.0,0.23,2.08,3.85,0.0,,,3.85,2022-06-01,0.0,SI
700628,CLARITROMICINA 500MG POLVO LIOFILIZADO ,MEDICAMENTOS,B,Media,XGBoost,212.91,1.0,0.23,13.96,62.96,58.0,,0.0,4.96,2022-06-01,0.0,SI
700629,FOSFOLIPIDOS NATURALES 200MG/8ML SUSPENSION INYECTABLE (SURFACTANTE PULMONAR),MEDICAMENTOS,C,Baja,Media móvil,4.38,1.0,0.23,0.24,1.25,3.0,,0.0,0.0,2022-06-13,12.0,NO
700630,ALPROSTADIL SOLUCIÓN INYECTABLE 500MCG/1ML,MEDICAMENTOS,C,Alta,XGBoost,0.48,1.0,0.23,0.03,0.14,5.0,,0.0,0.0,2023-04-07,311.0,NO
700631,"OCTREOTIDE SOLUCIÓN INYECTABLE 0,1MG/1ML",MEDICAMENTOS,C,Alta,XGBoost,14.96,1.0,0.23,5.25,8.69,,,,,,,NO
700634,MEROPENEM POLVO LIOFILIZADO 1000 MG,MEDICAMENTOS,A,Baja,XGBoost,1615.82,1.0,0.23,10.77,382.65,136.0,,0.0,246.65,2022-06-01,0.0,SI
700639,ANFOTERICINA B 50MG POLVO LIOFILIZADO ,MEDICAMENTOS,C,Media,Media móvil,34.47,1.0,0.23,3.11,11.05,22.0,,0.0,0.0,2022-06-10,10.0,NO
700640,TRIMETOPRIM/SULFAMETOXAZOL  80MG/400MG/5ML SOL. INYECTABLE,MEDICAMENTOS,A,Baja,XGBoost,633.59,1.0,0.23,78.0,223.82,186.0,,0.0,37.82,2022-06-01,0.0,SI
700644,ADENOSINA 6MG/2ML SOL. INYECTABLE ,MEDICAMENTOS,C,Alta,XGBoost,0.35,1.0,0.23,0.05,0.13,2.0,,0.0,0.0,2022-11-10,163.0,NO
700645,CEFEPIME 1G POLVO LIOFILIZADO,MEDICAMENTOS,A,Baja,XGBoost,790.27,1.0,0.23,52.32,234.2,209.0,,0.0,25.2,2022-06-01,0.0,SI
700646,MILRINONA SOL. INYECTABLE 10MG/10ML,MEDICAMENTOS,C,Baja,Media móvil,53.19,1.0,0.23,3.66,15.9,36.0,,0.0,0.0,2022-06-12,12.0,NO
700651,KETOPROFENO SOLUCIÓN INYECTABLE 100MG/2ML,MEDICAMENTOS,C,Alta,XGBoost,0.17,1.0,0.23,0.01,0.05,,,,,,,NO
700694,LIDOCAINA CLORHIDRATO 2% JALEA 30G,MEDICAMENTOS,B,Baja,XGBoost,135.15,1.0,0.23,8.13,39.23,64.0,,0.0,0.0,2022-06-06,6.0,NO
700741,SACUBITRIL/ VALSARTAN 50 MG TABLETA,MEDICAMENTOS,C,Media,Media móvil,27.23,1.0,0.23,0.81,7.08,18.0,,0.0,0.0,2022-06-13,12.0,NO
700749,"BUDESONIDA SUSPENSIÓN PARA INHALACIÓN 0,5MG/1ML (1MG/2ML)",MEDICAMENTOS,C,Alta,XGBoost,2.27,1.0,0.23,0.04,0.56,0.0,,,0.56,2022-06-01,0.0,SI
700757,SALBUTAMOL 5 MG SOL. PARA NEBULIZACIÓN X 10 ML,MEDICAMENTOS,C,Alta,XGBoost,0.85,1.0,0.23,0.28,0.47,0.0,,,0.47,2022-06-01,0.0,SI
700762,LIDOCAINA CLORHIDRATO SOLUCIÓN TÓPICA 10%/80G,MEDICAMENTOS,C,Alta,XGBoost,0.31,1.0,0.23,0.01,0.08,3.0,,0.0,0.0,2023-03-11,284.0,NO
700779,FENOBARBITAL TABLETA 100MG ,CONTROLADOS,C,Alta,XGBoost,0.49,1.0,0.23,0.02,0.14,34.0,,3.0,0.0,2028-03-04,2104.0,NO
700786,GASA VASELINADA,DISPOSITIVOS MEDICO,C,Alta,XGBoost,1.59,1.0,0.23,0.21,0.58,3.0,,2.0,0.0,2022-07-17,46.0,NO
700791,DEGARELIX 80 MG POLVO PARA RECONSTITUCION,MEDICAMENTOS,C,Alta,XGBoost,0.59,1.0,0.23,0.23,0.37,,,,,,,NO
700800,HALOPERIDOL 5MG TABLETA  ,MEDICAMENTOS,C,Alta,XGBoost,25.3,1.0,0.23,5.09,10.91,36.0,,11.0,0.0,2022-07-01,30.0,NO
700809,"PIPERACILINA/TAZOBACTAM POLVO LIOFILIZADO 4,5G",MEDICAMENTOS,A,Baja,XGBoost,3673.02,1.0,0.23,192.94,1038.28,572.0,,0.0,466.28,2022-06-01,0.0,SI
700813,FOSFOLIPIDOS NATURALES 100MG/4ML SUSPENSION INYECTABLE (SURFACTANTE PULMONAR),MEDICAMENTOS,C,Baja,Media móvil,2.8,1.0,0.23,0.08,0.72,4.0,,0.0,0.0,2022-07-06,36.0,NO
700815,"FOSFOLIPIDOS NATURALES 120MG/1,5ML SUSPENSION INYECTABLE SURFACTANTE PULMONAR)",MEDICAMENTOS,C,Alta,XGBoost,2.05,1.0,0.23,0.2,0.68,0.0,,,0.68,2022-06-01,0.0,SI
700817,"BUPIVACAINA 0,5% x 10ML SOL. INYECTABLE",MEDICAMENTOS,C,Alta,XGBoost,0.06,1.0,0.23,0.01,0.02,0.0,,,0.02,2022-06-01,0.0,SI
700820,DALTEPARINA SODICA 2.500 UI (ANTIFACTOR XA)  SOL. INYECTABLE,MEDICAMENTOS,B,Media,XGBoost,76.1,1.0,0.23,2.89,20.41,31.0,,0.0,0.0,2022-06-05,4.0,NO
700821,DALTEPARINA SODICA 5.000 UI (ANTIFACTOR XA) SOL. INYECTABLE,MEDICAMENTOS,C,Media,Media móvil,27.86,1.0,0.23,2.62,9.03,27.0,,0.0,0.0,2022-06-20,20.0,NO
700850,TRANEXAMICO ACIDO 500MG  SOL. INYECTABLE,MEDICAMENTOS,B,Baja,XGBoost,148.49,1.0,0.23,10.96,45.13,63.0,,0.0,0.0,2022-06-04,4.0,NO
700851,AGUA ESTERIL PARA INYECCION 5ML,MEDICAMENTOS,A,Baja,XGBoost,2583.59,1.0,0.23,100.13,694.74,0.0,,,694.74,2022-06-01,0.0,SI
700860,EPINEFRINA 1MG/ML SOL. INYECTABLE ,MEDICAMENTOS,C,Baja,Media móvil,51.92,1.0,0.23,3.11,15.06,70.0,,1.0,0.0,2022-07-03,32.0,NO
700873,URSODEOXICOLICO ACIDO TABLETA 600MG,MEDICAMENTOS,C,Alta,XGBoost,2.93,1.0,0.23,0.47,1.14,24.0,,0.0,0.0,2023-01-24,237.0,NO
700883,"FENTANYL 0,5MG/10ML SOL. INYECTABLE",CONTROLADOS,A,Baja,XGBoost,1324.08,1.0,0.23,20.99,325.72,1168.0,,0.0,0.0,2022-06-20,19.0,NO
700887,"BETAMETILDIGOXINA 0,2MG/2ML SOL. INYECTABLE",MEDICAMENTOS,C,Baja,Media móvil,33.69,1.0,0.23,0.61,8.36,20.0,,0.0,0.0,2022-06-11,11.0,NO
700893,FENITOINA 250MG/5ML SOL. INYECTABLE ,MEDICAMENTOS,B,Baja,XGBoost,176.35,1.0,0.23,11.09,51.68,59.0,,0.0,0.0,2022-06-02,1.0,NO
700895,"AMPICILINA/SULBACTAM 1,5G POLVO LIOFILIZADO ",MEDICAMENTOS,A,Baja,XGBoost,3402.75,1.0,0.23,146.84,929.98,278.0,,0.0,651.98,2022-06-01,0.0,SI
700901,COMPLEJO B SOLUCIÓN INYECTABLE 10ML,MEDICAMENTOS,C,Alta,XGBoost,0.09,1.0,0.23,0.01,0.03,1.0,,0.0,0.0,2023-04-11,315.0,NO
700907,"FITOMENADIONA 2MG/0,2ML SOL. INYECTABLE (VITAMINA K)",MEDICAMENTOS,C,Media,Media móvil,2.58,1.0,0.23,0.62,1.21,5.0,,0.0,0.0,2022-07-15,45.0,NO
700917,CLEMASTINA SOLUCIÓN INYECTABLE 2MG,MEDICAMENTOS,C,Alta,XGBoost,0.24,1.0,0.23,0.08,0.13,3.0,,0.0,0.0,2023-05-30,364.0,NO
700944,METILPREDNISOLONA SUCCINATO 40MG/ML SOL. INYECTABLE,MEDICAMENTOS,C,Alta,XGBoost,0.8,1.0,0.23,0.16,0.34,12.0,,0.0,0.0,2023-08-20,446.0,NO
700948,MEDROXIPROGESTERONA ACETATO SUSPENSIÓN INYECTABLE 50MG/ML (150MG/3ML),MEDICAMENTOS,C,Media,Media móvil,12.05,1.0,0.23,4.69,7.47,0.0,,,7.47,2022-06-01,0.0,SI
700949,METILPREDNISOLONA ACETATO 40MG/ML SUSPENSION INYECTABLE,MEDICAMENTOS,C,Alta,XGBoost,0.42,1.0,0.23,0.03,0.13,5.0,,0.0,0.0,2023-05-17,350.0,NO
700964,"ENSURE PLUS HN SOLUCIÓN ORAL 1,5KCAL/1ML (355,5KCAL/237ML) ALIMENTO DE USO ESPEC",NUTRICION,B,Media,XGBoost,68.22,1.0,0.23,6.21,21.91,16.0,,0.0,5.91,2022-06-01,0.0,SI
700966,JEVITY SOLUCIÓN ORAL 1KCAL/1ML (1500KCAL/1500ML)) ALIMENTO PARA PROPÓSITOS MÉD,NUTRICION,C,Media,Media móvil,30.68,1.0,0.23,0.96,8.02,10.0,,0.0,0.0,2022-06-02,2.0,NO
700967,"ENSURE PLUS HN SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO DE USO ESPEC",NUTRICION,C,Alta,XGBoost,16.01,1.0,0.23,4.16,7.85,5.0,,0.0,2.85,2022-06-01,0.0,SI
700968,"ENSURE SOLUCIÓN ORAL 1,05KCAL/1ML (248,9KCAL/237ML) ALIMENTO LIQUIDO CON PROTEÍN",NUTRICION,C,Media,Media móvil,82.03,1.0,0.23,12.49,31.37,29.0,,0.0,2.37,2022-06-01,0.0,SI
700971,"(OSMOLITE HN PLUS SOLUCIÓN ORAL 1,2KCAL/1ML (1800KCAL/1500ML)) ALIMENTO PARA PR",NUTRICION,C,Media,Media móvil,20.78,1.0,0.23,2.37,7.15,5.0,,0.0,2.15,2022-06-01,0.0,SI
700974,GLUCERNA SOLUCIÓN ORAL 1KCAL/1ML (1500KCAL/1500ML)) ALIMENTO LÍQUIDO PARA PROP,NUTRICION,C,Media,Media móvil,22.08,1.0,0.23,0.36,5.44,14.0,,0.0,0.0,2022-06-12,12.0,NO
700975,(NUTREN SOLUCIÓN ORAL 1KCAL/1ML (250KCAL/250ML)) ALIMENTO LÍQUIDO PARA USOS NUT,NUTRICION,B,Media,XGBoost,177.64,1.0,0.23,39.37,80.25,65.0,,0.0,15.25,2022-06-01,0.0,SI
700980,(PEPTAMEN PREBIO SOL. ORAL 1KCAL/1ML (250KCAL/250ML)) ALIMENTO LIQUIDO CON PROTE,NUTRICION,C,Alta,XGBoost,53.92,1.0,0.23,9.4,21.81,49.0,,0.0,0.0,2022-06-16,15.0,NO
700997,SODIO BICARBONATO POLVO SOL. ORAL x 2.8 GRAMOS,MEDICAMENTOS,C,Alta,XGBoost,0.41,1.0,0.23,0.01,0.1,1.0,,0.0,0.0,2022-08-07,67.0,NO
701003,BUDESONIDA 100 MCG/PUFF x 200 PUFF,MEDICAMENTOS,C,Alta,XGBoost,0.19,1.0,0.23,0.08,0.12,,,,,,,NO
701035,"BETAMETILDIGOXINA TABLETA 0,1MG",MEDICAMENTOS,C,Alta,XGBoost,8.4,1.0,0.23,1.28,3.21,19.0,,1.0,0.0,2022-07-28,57.0,NO
701079,PREDNISONA TABLETA 50MG,MEDICAMENTOS,B,Baja,XGBoost,140.86,1.0,0.23,21.0,53.42,162.0,,1.0,0.0,2022-06-24,23.0,NO
701175,PROPAFENONA TABLETA 150MG,MEDICAMENTOS,C,Alta,XGBoost,10.96,1.0,0.23,2.02,4.54,14.0,,2.0,0.0,2022-06-27,26.0,NO
701210,METIMAZOL TABLETA 5MG,MEDICAMENTOS,B,Media,XGBoost,182.48,1.0,0.23,6.9,48.89,33.0,,14.0,15.89,2022-06-01,0.0,SI
701277,BOLSA NUTRICION ENTERAL 1500 ML,DISPOSITIVOS MEDICO,C,Baja,Media móvil,112.0,1.0,0.23,1.94,27.72,34.0,,0.0,0.0,2022-06-02,2.0,NO
701278,SET ENTERAL TAPA ROSCA Y PUNZON,DISPOSITIVOS MEDICO,C,Alta,XGBoost,11.93,1.0,0.23,2.35,5.1,5.0,,0.0,0.1,2022-06-01,0.0,SI
701279,EQUIPO CON PUNZON EN CRUZ AMIKA ,DISPOSITIVOS MEDICO,A,Baja,XGBoost,483.57,1.0,0.23,4.19,115.48,50.0,,0.0,65.48,2022-06-01,0.0,SI
701289,TRANEXAMICO ÁCIDO TABLETA 500MG,MEDICAMENTOS,C,Media,Media móvil,1.78,1.0,0.23,0.25,0.66,15.0,,0.0,0.0,2023-02-01,246.0,NO
701399,AGUA ESTERIL PARA INYECCION 500ML,MEDICAMENTOS,B,Baja,XGBoost,346.51,1.0,0.23,7.14,86.89,33.0,,0.0,53.89,2022-06-01,0.0,SI
