producto_id,nombre_producto,categoria,proveedor_principal,proveedor_alterno,categoria_abc,variabilidad,metodo_pronostico,demanda_promedio_mensual_pronosticada,lead_time_semanas,lead_time_meses,stock_seguridad,punto_reorden,inventario_actual,eoq,limite_presupuesto_unidades,cantidad_sugerida_pedido,costo_unitario,costo_estimado_pedido,valor_inventario_actual,fecha_estimada_pedido,dias_para_pedido,ordenar
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,MEDICAMENTOS,,,C,Alta,XGBoost,52.55,1.0,0.23,9.16,21.25,0.0,,,21.25,0.0,0.0,0.0,2022-06-01,0.0,SI
145933,LEVOTIROXINA SODICA TABLETA 25MCG,MEDICAMENTOS,SOLINSA,COMFANDI,B,Baja,Media móvil,59.04,1.7,0.39,1.0,24.3,37.0,,13.0,0.0,43.0,0.0,1591.0,2022-06-07,7.0,NO
151766,CLOBAZAM TABLETA 10 MG ,CONTROLADOS,,,C,Alta,XGBoost,29.7,1.0,0.23,15.39,22.22,149.0,,0.0,0.0,2004.0,0.0,298596.0,2022-10-08,130.0,NO
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,MEDICAMENTOS,FRESENIUS,CRUZ VERDE,C,Media,XGBoost,24.46,0.6,0.13,2.14,5.36,21.0,,0.0,0.0,10449.0,0.0,219429.0,2022-06-20,19.0,NO
153257,ANFOTERICINA B LIPOSOMAL 50MG POLVO LIOFILIZADO 50MG,MEDICAMENTOS,JC,SOLINSA,C,Media,Media móvil,49.45,0.6,0.13,3.19,9.69,42.0,,0.0,0.0,526667.0,0.0,22120014.0,2022-06-20,20.0,NO
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,MEDICAMENTOS,,,C,Alta,XGBoost,12.18,1.0,0.23,4.41,7.21,27.0,,0.0,0.0,8154.0,0.0,220158.0,2022-07-20,49.0,NO
160729,LEVETIRACETAM 1000MG TABLETA,MEDICAMENTOS,,,C,Alta,XGBoost,5.73,1.0,0.23,2.23,3.55,,,,,,,,,,NO
162236,INSULINA DEGLUDEC SOL. INYECTABLE 100UI/ML x 3 ML,MEDICAMENTOS,SOLINSA,CRUZ VERDE,C,Media,XGBoost,2.91,1.7,0.39,0.15,1.29,1.0,,0.0,0.0,52861.0,0.0,52861.0,2022-06-01,0.0,SI
162378,ACETAMINOFEN/HIDROCODONA TABLETA 325MG/5MG,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,Media móvil,0.0,1.7,0.39,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2022-06-01,0.0,SI
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,MEDICAMENTOS,JC,SOLINSA,C,Alta,Media móvil,14.58,0.6,0.13,1.04,2.96,14.0,,0.0,0.0,14742.0,0.0,206388.0,2022-06-24,23.0,NO
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,MEDICAMENTOS,JC,DAGO,C,Alta,Regresión Lineal,19.31,0.6,0.13,5.69,8.23,26.0,,0.0,0.0,1405.0,0.0,36530.0,2022-06-29,28.0,NO
164333,FOSFOMICINA DISODICA 4G POLVO LIOFILIZADO ,MEDICAMENTOS,GPC PHARMA,SOLINSA,C,Alta,XGBoost,5.99,0.3,0.07,0.17,0.56,21.0,,0.0,0.0,269619.0,0.0,5661999.0,2022-09-12,104.0,NO
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",NUTRICION,COBO MEDICAL,ALLERS,C,Media,XGBoost,14.52,0.7,0.16,3.45,5.84,48.0,,0.0,0.0,12544.0,0.0,602112.0,2022-08-28,88.0,NO
19973360,DOBUTAMINA 250MG/20ML SOL. INYECTABLE,MEDICAMENTOS,,,C,Baja,Media móvil,36.81,1.0,0.23,1.87,10.35,21.0,,0.0,0.0,2365.0,0.0,49665.0,2022-06-09,9.0,NO
200061,SENSOR NEONATAL ADHESIVO M-LNCS PARA EQUIPOS  MARCA MASIMO,DISPOSITIVOS MEDICO,,,C,Alta,Regresión Lineal,2.39,1.0,0.23,0.93,1.48,0.0,,,1.48,0.0,0.0,0.0,2022-06-01,0.0,SI
200072,SENSOR SPO2 NEONATAL EM0602,DISPOSITIVOS MEDICO,,,C,Alta,XGBoost,0.13,1.0,0.23,0.02,0.05,,,,,,,,,,NO
2001990802,SACCHAROMYCES BOULARDII POLVO PARA SUSPENSIÓN ORAL 250MG,MEDICAMENTOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,20.0,,0.0,0.0,3820.0,0.0,76400.0,,,NO
20039341,TICAGRELOR TABLETA 90MG,MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.93,1.0,0.23,0.36,0.58,23.0,,0.0,0.0,3722.0,0.0,85606.0,2024-06-03,734.0,NO
6421,"OXIMETAZOLINA SOLUCIÓN NASAL 0, 025% ",MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.27,1.0,0.23,0.11,0.17,3.0,,0.0,0.0,2754.0,0.0,8262.0,2023-04-12,315.0,NO
700010,NIFEDIPINO CÁPSULA 10MG,MEDICAMENTOS,,,B,Media,XGBoost,156.52,1.0,0.23,15.91,51.93,106.0,,3.0,0.0,171.0,0.0,18126.0,2022-06-11,11.0,NO
700021,ALFAMETILDOPA TABLETA 250MG,MEDICAMENTOS,SOLINSA,EVEDISA,C,Media,Media móvil,14.19,1.7,0.39,2.2,7.79,31.0,,3.0,0.0,166.0,0.0,5146.0,2022-07-20,50.0,NO
700067,TRIMETOPRIM/SULFAMETOXAZOL TABLETA 160MG/800MG,MEDICAMENTOS,SOLINSA,EVEDISA,C,Baja,XGBoost,65.34,1.7,0.39,1.33,27.1,43.0,,10.0,0.0,56.5,0.0,2429.5,2022-06-08,7.0,NO
700131,CLOTRIMAZOL 100MG TABLETA VAGINAL,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,XGBoost,1.77,1.7,0.39,0.08,0.78,11.0,,5.0,0.0,103.0,0.0,1133.0,2022-11-23,175.0,NO
700142,WARFARINA SODICA TABLETA 5MG,MEDICAMENTOS,,,C,Baja,XGBoost,58.5,1.0,0.23,12.01,25.48,39.0,,27.0,0.0,21.33,0.0,832.0,2022-06-08,7.0,NO
700145,DIOSMINA TABLETA 500MG,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,XGBoost,6.92,1.7,0.39,1.58,4.3,10.0,,1.0,0.0,382.0,0.0,3820.0,2022-06-26,25.0,NO
700203,MUPIROCINA UNGÜENTO TÓPICO 2%/15G,MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.34,1.0,0.23,0.06,0.14,1.0,,0.0,0.0,68963.0,0.0,68963.0,2022-08-16,76.0,NO
700245,SULFADIAZINA DE PLATA CREMA TOPICA 1% ,MEDICAMENTOS,JC,DAGO,C,Alta,Regresión Lineal,0.2,0.6,0.13,0.06,0.08,0.0,,,0.08,0.0,0.0,0.0,2022-06-01,0.0,SI
700290,"BETAMETILDIGOXINA 0,6MG/ML/45 GOTAS SOLUCIÓN ORAL ",MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,XGBoost,1.29,1.7,0.39,0.08,0.59,6.0,,0.0,0.0,16751.0,0.0,100506.0,2022-10-06,128.0,NO
700302,GLUTAPAK 10 ENTEREX ALIMENTO 15g,NUTRICION,AMAREY,CRUZ VERDE,C,Alta,XGBoost,1.28,0.3,0.07,0.12,0.21,33.0,,0.0,0.0,17711.0,0.0,584463.0,2024-07-17,778.0,NO
700307,PREPARADO MAGISTRAL DE OMEPRAZOL ENTERAL 20 MG/10 ML,MEDICAMENTOS,SAN JORGE,,C,Media,Regresión Lineal,91.57,0.7,0.16,16.09,31.15,31.0,,0.0,0.0,888.0,0.0,27528.0,2022-06-01,0.0,SI
700308,PREPARADO MAGISTRAL DE NIFEDIPINO ENTERAL 30 MG/ 10 ML,MEDICAMENTOS,SAN JORGE,,C,Alta,XGBoost,6.22,0.7,0.16,0.92,1.94,,,,,,,,,,NO
700310,TROPICAMIDA 1% 15ML SOLUCION OFTALMICA,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,Regresión Lineal,0.2,1.7,0.39,0.1,0.18,,,,,,,,,,NO
700319,circuito neonatal REFERENCIA MP02650,DISPOSITIVOS MEDICO,,,C,Media,Media móvil,3.48,1.0,0.23,0.3,1.1,3.0,,0.0,0.0,198981.0,0.0,596943.0,2022-06-17,17.0,NO
700320,LEVETIRACETAM 100 MG/ML SOLUCION ORAL x 300 ML,MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,C,Alta,Regresión Lineal,1.81,0.7,0.16,0.44,0.74,2.0,,0.0,0.0,92800.0,0.0,185600.0,2022-06-22,21.0,NO
700326,IPRATROPIO BROMURO SOL. PARA INHALACIÓN 250MCG/1ML x 20ML,MEDICAMENTOS,CRUZ VERDE,SOLINSA,C,Media,Media móvil,1.08,1.4,0.33,0.2,0.56,1.0,,0.0,0.0,37749.0,0.0,37749.0,2022-06-13,12.0,NO
700401,SUCRALFATO SUSPENSIÓN ORAL 20%/200ML,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,XGBoost,1.28,1.7,0.39,0.15,0.65,2.0,,0.0,0.0,37689.0,0.0,75378.0,2022-07-03,32.0,NO
700410,EQUIPO PERFUSOR 50CC,DISPOSITIVOS MEDICO,,,C,Alta,XGBoost,1.56,1.0,0.23,0.05,0.41,5.0,,0.0,0.0,24987.0,0.0,124935.0,2022-08-29,90.0,NO
700422,FENOBARBITAL SOLUCIÓN ORAL 4MG/1ML ,CONTROLADOS,SECRETARIA DE SALUD,WORLD MEDICAL,C,Media,XGBoost,0.75,1.1,0.26,0.03,0.23,10.0,,0.0,0.0,36883.0,0.0,368830.0,2023-06-30,395.0,NO
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,MEDICAMENTOS,SOLINSA,CRUZ VERDE,C,Baja,Regresión Lineal,29.96,1.7,0.39,6.89,18.71,7.0,,0.0,0.0,7518.0,0.0,52626.0,2022-06-01,0.0,SI
700525,PROPOFOL EMULSIÓN INYECTABLE 1%/20ML,MEDICAMENTOS,FRESENIUS,CURZ VERDE,C,Alta,XGBoost,1.73,0.6,0.13,0.09,0.32,7.0,,0.0,0.0,5100.0,0.0,35700.0,2022-09-26,117.0,NO
700543,MIDAZOLAM 5MG/5ML SOL. INYECTABLE,CONTROLADOS,AMAREY,CRUZ VERDE,A,Baja,XGBoost,9179.62,0.4,0.1,71.79,977.22,2137.0,,0.0,0.0,5135.0,0.0,10973495.0,2022-06-04,4.0,NO
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,MEDICAMENTOS,JC,DELTA,C,Alta,XGBoost,37.27,0.6,0.13,2.62,7.53,18.0,,0.0,0.0,56258.0,0.0,1012644.0,2022-06-09,9.0,NO
700550,ROCURONIO BROMURO SOLUCIÓN INYECTABLE 50MG/5ML,MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,C,Alta,Media móvil,16.49,0.7,0.16,1.51,4.22,69.0,,0.0,0.0,8333.0,0.0,574977.0,2022-09-28,120.0,NO
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),MEDICAMENTOS,JC,DAGO,B,Media,XGBoost,272.7,0.6,0.13,18.29,54.15,118.0,,0.0,0.0,2781.5,0.0,328217.0,2022-06-08,7.0,NO
700567,ALIZAPRIDA SOL. INYECTABLE 50MG,MEDICAMENTOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,3.0,,0.0,0.0,3627.0,0.0,10881.0,,,NO
700572,"METILERGOMETRINA SOL. INYECTABLE 0,2MG ",CONTROLADOS,COBO MEDICAL,SOLINSA,C,Alta,XGBoost,0.4,1.1,0.26,0.06,0.16,48.0,,0.0,0.0,4295.0,0.0,206160.0,2032-04-19,3610.0,NO
700575,"ENOXAPARINA 20MG/0,2ML SOL. INYECTABLE ",MEDICAMENTOS,JC,CRUZ VERDE,B,Baja,XGBoost,122.77,0.6,0.13,3.75,19.9,66.0,,0.0,0.0,11730.0,0.0,774180.0,2022-06-12,11.0,NO
700577,"ENOXAPARINA 60MG/0,6ML SOL. INYECTABLE ",MEDICAMENTOS,,,B,Baja,XGBoost,382.04,1.0,0.23,7.14,95.07,89.0,,0.0,0.0,17991.0,0.0,1601199.0,2022-06-01,0.0,SI
700578,"ENOXAPARINA 80MG/0,8ML SOL. INYECTABLE ",MEDICAMENTOS,JC,CRUZ VERDE,B,Baja,XGBoost,162.14,0.6,0.13,4.53,25.85,50.0,,0.0,0.0,21992.0,0.0,1099600.0,2022-06-05,5.0,NO
700587,MEPERIDINA 100MG/2ML SOL. INYECTABLE,CONTROLADOS,SECRETARIA DE SALUD,WORLD MEDICAL,C,Baja,XGBoost,48.3,1.1,0.26,7.83,20.54,463.0,,0.0,0.0,2726.0,0.0,1262138.0,2023-03-06,279.0,NO
700605,INMUNOGLOBULINA HUMANA NORMAL  6 GR/200ML SOL. INYECTABLE,MEDICAMENTOS,,,C,Alta,XGBoost,7.69,1.0,0.23,2.08,3.85,0.0,,,3.85,0.0,0.0,0.0,2022-06-01,0.0,SI
700628,CLARITROMICINA 500MG POLVO LIOFILIZADO ,MEDICAMENTOS,JC,CRUZ VERDE,B,Media,XGBoost,212.91,0.6,0.13,10.55,38.55,58.0,,0.0,0.0,17072.67,0.0,990214.67,2022-06-03,3.0,NO
700629,FOSFOLIPIDOS NATURALES 200MG/8ML SUSPENSION INYECTABLE (SURFACTANTE PULMONAR),MEDICAMENTOS,CRUZ VERDE,SOLINSA,C,Baja,Regresión Lineal,4.7,1.4,0.33,0.53,2.08,3.0,,0.0,0.0,1206829.0,0.0,3620487.0,2022-06-06,6.0,NO
700630,ALPROSTADIL SOLUCIÓN INYECTABLE 500MCG/1ML,MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.34,1.0,0.23,0.06,0.14,5.0,,0.0,0.0,194680.0,0.0,973400.0,2023-08-06,431.0,NO
700631,"OCTREOTIDE SOLUCIÓN INYECTABLE 0,1MG/1ML",MEDICAMENTOS,JC,SOLINSA,C,Alta,XGBoost,14.96,0.6,0.13,3.97,5.93,,,,,,,,,,NO
700634,MEROPENEM POLVO LIOFILIZADO 1000 MG,MEDICAMENTOS,,,A,Baja,XGBoost,1615.82,1.0,0.23,10.77,382.65,136.0,,0.0,0.0,22663.67,0.0,3082258.67,2022-06-01,0.0,SI
700639,ANFOTERICINA B 50MG POLVO LIOFILIZADO ,MEDICAMENTOS,,,C,Media,Regresión Lineal,41.85,1.0,0.23,12.15,21.78,22.0,,0.0,0.0,27335.0,0.0,601370.0,2022-06-01,0.0,NO
700640,TRIMETOPRIM/SULFAMETOXAZOL  80MG/400MG/5ML SOL. INYECTABLE,MEDICAMENTOS,COBO MEDICAL,AMAREY,A,Baja,Media móvil,810.62,0.7,0.16,23.07,156.32,186.0,,0.0,0.0,9215.0,0.0,1713990.0,2022-06-02,1.0,NO
700644,ADENOSINA 6MG/2ML SOL. INYECTABLE ,MEDICAMENTOS,,,C,Alta,XGBoost,0.35,1.0,0.23,0.05,0.13,2.0,,0.0,0.0,17180.0,0.0,34360.0,2022-11-10,163.0,NO
700645,CEFEPIME 1G POLVO LIOFILIZADO,MEDICAMENTOS,,,A,Baja,Media móvil,942.69,1.0,0.23,12.78,229.74,209.0,,0.0,0.0,1555.5,0.0,325099.5,2022-06-01,0.0,SI
700646,MILRINONA SOL. INYECTABLE 10MG/10ML,MEDICAMENTOS,SANOFI,SOLINSA,C,Baja,Media móvil,53.19,1.1,0.26,3.91,17.9,36.0,,0.0,0.0,79478.0,0.0,2861208.0,2022-06-11,10.0,NO
700651,KETOPROFENO SOLUCIÓN INYECTABLE 100MG/2ML,MEDICAMENTOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,,,,,,,,,,NO
700694,LIDOCAINA CLORHIDRATO 2% JALEA 30G,MEDICAMENTOS,JC,DAGO,B,Baja,XGBoost,135.15,0.6,0.13,6.14,23.92,64.0,,0.0,0.0,5575.0,0.0,356800.0,2022-06-10,9.0,NO
700741,SACUBITRIL/ VALSARTAN 50 MG TABLETA,MEDICAMENTOS,CRUZ VERDE,EVEDISA,C,Media,Media móvil,27.23,1.4,0.33,0.97,9.93,18.0,,0.0,0.0,3702.0,0.0,66636.0,2022-06-10,9.0,NO
700749,"BUDESONIDA SUSPENSIÓN PARA INHALACIÓN 0,5MG/1ML (1MG/2ML)",MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,C,Alta,XGBoost,2.27,0.7,0.16,0.04,0.41,0.0,,,0.41,0.0,0.0,0.0,2022-06-01,0.0,SI
700757,SALBUTAMOL 5 MG SOL. PARA NEBULIZACIÓN X 10 ML,MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,C,Alta,Regresión Lineal,1.69,0.7,0.16,0.56,0.83,0.0,,,0.83,0.0,0.0,0.0,2022-06-01,0.0,SI
700762,LIDOCAINA CLORHIDRATO SOLUCIÓN TÓPICA 10%/80G,MEDICAMENTOS,JC,DAGO,C,Alta,Regresión Lineal,0.2,0.6,0.13,0.06,0.08,3.0,,0.0,0.0,39660.0,0.0,118980.0,2023-08-26,451.0,NO
700779,FENOBARBITAL TABLETA 100MG ,CONTROLADOS,,,C,Alta,Media móvil,0.0,1.0,0.23,0.0,0.0,34.0,,3.0,0.0,164.0,0.0,5576.0,,,NO
700786,GASA VASELINADA,DISPOSITIVOS MEDICO,,,C,Alta,Regresión Lineal,0.34,1.0,0.23,0.06,0.14,3.0,,2.0,0.0,257.0,0.0,771.0,2023-02-09,254.0,NO
700791,DEGARELIX 80 MG POLVO PARA RECONSTITUCION,MEDICAMENTOS,JC,SOLINSA,C,Alta,XGBoost,0.59,0.9,0.2,0.21,0.33,,,,,,,,,,NO
700800,HALOPERIDOL 5MG TABLETA  ,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,Regresión Lineal,46.15,1.7,0.39,32.74,50.95,36.0,,11.0,11.0,53.0,583.0,1908.0,2022-06-01,0.0,SI
700809,"PIPERACILINA/TAZOBACTAM POLVO LIOFILIZADO 4,5G",MEDICAMENTOS,,,A,Baja,Media móvil,3064.49,1.0,0.23,34.76,740.05,572.0,,0.0,0.0,11289.0,0.0,6457308.0,2022-06-01,0.0,SI
700813,FOSFOLIPIDOS NATURALES 100MG/4ML SUSPENSION INYECTABLE (SURFACTANTE PULMONAR),MEDICAMENTOS,CRUZ VERDE,SOLINSA,C,Baja,Media móvil,2.8,1.4,0.33,0.09,1.01,4.0,,0.0,0.0,869249.0,0.0,3476996.0,2022-07-03,32.0,NO
700815,"FOSFOLIPIDOS NATURALES 120MG/1,5ML SUSPENSION INYECTABLE SURFACTANTE PULMONAR)",MEDICAMENTOS,AMAREY,CRUZ VERDE,C,Alta,XGBoost,2.05,0.3,0.07,0.11,0.24,0.0,,,0.24,0.0,0.0,0.0,2022-06-01,0.0,SI
700817,"BUPIVACAINA 0,5% x 10ML SOL. INYECTABLE",MEDICAMENTOS,JC,DAGO,C,Alta,Regresión Lineal,0.0,0.6,0.13,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2022-06-01,0.0,SI
700820,DALTEPARINA SODICA 2.500 UI (ANTIFACTOR XA)  SOL. INYECTABLE,MEDICAMENTOS,COBO MEDICAL,SOLINSA,B,Media,XGBoost,76.1,0.7,0.16,2.44,14.96,31.0,,0.0,0.0,6484.0,0.0,201004.0,2022-06-07,6.0,NO
700821,DALTEPARINA SODICA 5.000 UI (ANTIFACTOR XA) SOL. INYECTABLE,MEDICAMENTOS,COBO MEDICAL,SOLINSA,C,Media,Regresión Lineal,38.47,0.7,0.16,4.77,11.1,27.0,,0.0,0.0,9565.0,0.0,258255.0,2022-06-13,13.0,NO
700850,TRANEXAMICO ACIDO 500MG  SOL. INYECTABLE,MEDICAMENTOS,,,B,Baja,Media móvil,105.81,1.0,0.23,2.55,26.91,63.0,,0.0,0.0,1185.67,0.0,74697.0,2022-06-11,10.0,NO
700851,AGUA ESTERIL PARA INYECCION 5ML,MEDICAMENTOS,JC,DAGO,A,Baja,Regresión Lineal,3009.88,0.6,0.13,396.65,792.5,0.0,,,792.5,0.0,0.0,0.0,2022-06-01,0.0,SI
700860,EPINEFRINA 1MG/ML SOL. INYECTABLE ,MEDICAMENTOS,FRESENIUS,CRUZ VERDE,C,Baja,XGBoost,81.56,0.6,0.13,3.64,14.37,70.0,,1.0,0.0,333.0,0.0,23310.0,2022-06-21,21.0,NO
700873,URSODEOXICOLICO ACIDO TABLETA 600MG,MEDICAMENTOS,SOLINSA,EVEDISA,C,Alta,XGBoost,2.93,1.7,0.39,0.61,1.77,24.0,,0.0,0.0,2398.0,0.0,57552.0,2023-01-17,231.0,NO
700883,"FENTANYL 0,5MG/10ML SOL. INYECTABLE",CONTROLADOS,FRESENIUS,CRUZ VERDE,A,Baja,XGBoost,1324.08,1.1,0.26,22.44,370.71,1168.0,,0.0,0.0,1387.0,0.0,1620016.0,2022-06-19,18.0,NO
700887,"BETAMETILDIGOXINA 0,2MG/2ML SOL. INYECTABLE",MEDICAMENTOS,JC,DAGO,C,Baja,XGBoost,35.67,0.6,0.13,0.96,5.65,20.0,,0.0,0.0,1413.5,0.0,28270.0,2022-06-13,12.0,NO
700893,FENITOINA 250MG/5ML SOL. INYECTABLE ,MEDICAMENTOS,JC,DAGO,B,Baja,XGBoost,176.35,0.6,0.13,8.39,31.58,59.0,,0.0,0.0,701.0,0.0,41359.0,2022-06-05,5.0,NO
700895,"AMPICILINA/SULBACTAM 1,5G POLVO LIOFILIZADO ",MEDICAMENTOS,COBO MEDICAL,CRUZ VERDE,A,Baja,Media móvil,3188.14,0.7,0.16,34.43,558.54,278.0,,0.0,0.0,3884.33,0.0,1079844.67,2022-06-01,0.0,SI
700901,COMPLEJO B SOLUCIÓN INYECTABLE 10ML,MEDICAMENTOS,,,C,Alta,Regresión Lineal,0.0,1.0,0.23,0.0,0.0,1.0,,0.0,0.0,2303.0,0.0,2303.0,,,NO
700907,"FITOMENADIONA 2MG/0,2ML SOL. INYECTABLE (VITAMINA K)",MEDICAMENTOS,,,C,Media,Regresión Lineal,5.43,1.0,0.23,1.73,2.98,5.0,,0.0,0.0,9414.0,0.0,47070.0,2022-06-12,11.0,NO
700917,CLEMASTINA SOLUCIÓN INYECTABLE 2MG,MEDICAMENTOS,JC,SOLINSA,C,Alta,Regresión Lineal,0.0,0.6,0.13,0.0,0.0,3.0,,0.0,0.0,14148.0,0.0,42444.0,,,NO
